Index,Red,Green,Blue
0,0,0,0
1,0,0,0
2,1,1,0
3,1,2,0
4,2,3,0
5,2,4,0
6,3,5,0
7,3,6,0
8,4,7,0
9,5,8,0
10,5,9,0
11,6,9,0
12,6,10,0
13,7,11,0
14,7,12,0
15,8,13,0
16,9,14,0
17,9,15,0
18,10,16,0
19,10,17,0
20,11,18,0
21,11,19,0
22,12,19,0
23,12,20,0
24,13,21,0
25,14,22,0
26,14,23,0
27,15,24,0
28,15,25,0
29,16,26,0
30,16,27,0
31,17,28,0
32,18,28,0
33,18,29,0
34,19,30,0
35,19,31,0
36,20,32,0
37,20,33,0
38,21,34,0
39,22,35,0
40,22,36,0
41,23,37,0
42,23,38,0
43,24,38,0
44,24,39,0
45,25,40,0
46,25,41,0
47,26,42,0
48,27,43,0
49,27,44,0
50,28,45,0
51,28,46,0
52,29,47,0
53,29,48,0
54,30,48,0
55,31,49,0
56,31,50,0
57,32,51,0
58,32,52,0
59,33,53,0
60,33,54,0
61,34,55,0
62,35,56,0
63,35,57,0
64,36,57,0
65,36,58,0
66,37,59,0
67,37,60,0
68,38,61,0
69,38,62,0
70,39,63,0
71,40,64,0
72,40,65,0
73,41,66,0
74,41,67,0
75,42,67,0
76,42,68,0
77,43,69,0
78,44,70,0
79,44,71,0
80,45,72,0
81,45,73,0
82,46,74,0
83,46,75,0
84,47,76,0
85,48,77,1
86,48,77,1
87,49,78,1
88,49,79,1
89,50,80,1
90,50,81,1
91,51,82,1
92,51,83,1
93,52,84,1
94,53,85,1
95,53,86,1
96,54,86,1
97,54,87,1
98,55,88,1
99,55,89,1
100,56,90,1
101,57,91,1
102,57,92,1
103,58,93,1
104,58,94,1
105,59,95,1
106,59,96,1
107,60,96,1
108,60,97,1
109,61,98,1
110,62,99,1
111,62,100,1
112,63,101,1
113,63,102,1
114,64,103,1
115,64,104,1
116,65,105,1
117,66,105,1
118,66,106,1
119,67,107,1
120,67,108,1
121,68,109,1
122,68,110,1
123,69,111,1
124,70,112,1
125,70,113,1
126,71,114,1
127,71,115,1
128,72,115,1
129,72,116,1
130,73,117,1
131,73,118,1
132,74,119,1
133,75,120,1
134,75,121,1
135,76,122,1
136,76,123,1
137,77,124,1
138,77,125,1
139,78,125,1
140,79,126,1
141,79,127,1
142,80,128,1
143,80,129,1
144,81,130,1
145,81,131,1
146,82,132,1
147,83,133,1
148,83,134,1
149,84,134,1
150,84,135,1
151,85,136,1
152,85,137,1
153,86,138,1
154,86,139,1
155,87,140,1
156,88,141,1
157,88,142,1
158,89,143,1
159,89,144,1
160,90,144,1
161,90,145,1
162,91,146,1
163,92,147,1
164,92,148,1
165,93,149,1
166,93,150,1
167,94,151,1
168,94,152,1
169,95,153,1
170,96,154,2
171,96,154,2
172,97,155,2
173,97,156,2
174,98,157,2
175,98,158,2
176,99,159,2
177,99,160,2
178,100,161,2
179,101,162,2
180,101,163,2
181,102,163,2
182,102,164,2
183,103,165,2
184,103,166,2
185,104,167,2
186,105,168,2
187,105,169,2
188,106,170,2
189,106,171,2
190,107,172,2
191,107,173,2
192,108,173,2
193,108,174,2
194,109,175,2
195,110,176,2
196,110,177,2
197,111,178,2
198,111,179,2
199,112,180,2
200,112,181,2
201,113,182,2
202,114,182,2
203,114,183,2
204,115,184,2
205,115,185,2
206,116,186,2
207,116,187,2
208,117,188,2
209,118,189,2
210,118,190,2
211,119,191,2
212,119,192,2
213,120,192,2
214,120,193,2
215,121,194,2
216,121,195,2
217,122,196,2
218,123,197,2
219,123,198,2
220,124,199,2
221,124,200,2
222,125,201,2
223,125,202,2
224,126,202,2
225,127,203,2
226,127,204,2
227,128,205,2
228,128,206,2
229,129,207,2
230,129,208,2
231,130,209,2
232,131,210,2
233,131,211,2
234,132,211,2
235,132,212,2
236,133,213,2
237,133,214,2
238,134,215,2
239,134,216,2
240,135,217,2
241,136,218,2
242,136,219,2
243,137,220,2
244,137,221,2
245,138,221,2
246,138,222,2
247,139,223,2
248,140,224,2
249,140,225,2
250,141,226,2
251,141,227,2
252,142,228,2
253,142,229,2
254,143,230,2
255,144,231,3
